korean,japanese,pronunciation,category,level
안녕하세요,こんにちは,アンニョンハセヨ,挨拶,初級
감사합니다,ありがとうございます,カムサハムニダ,挨拶,初級
사랑해요,愛しています,サランヘヨ,感情,中級
미안합니다,すみません,ミアンハムニダ,挨拶,初級
이름,名前,イルム,基本単語,初級
학교,学校,ハッキョ,場所,初級
친구,友達,チング,人間関係,初級
가족,家族,カジョク,人間関係,初級
음식,食べ物,ウムシク,食事,初級
물,水,ムル,食事,初級
책,本,チェク,物,初級
시간,時間,シガン,時間,初級
집,家,チプ,場所,初級
좋아요,いいですね,チョアヨ,感情,初級
나쁘다,悪い,ナップダ,形容詞,初級
크다,大きい,クダ,形容詞,初級
작다,小さい,チャクタ,形容詞,初級
맛있다,美味しい,マシッタ,食事,初級
아름답다,美しい,アルムダプタ,形容詞,中級
재미있다,面白い,チェミイッタ,感情,初級
공부하다,勉強する,コンブハダ,動詞,初級
일하다,働く,イルハダ,動詞,初級
먹다,食べる,モクタ,食事,初級
마시다,飲む,マシダ,食事,初級
가다,行く,カダ,動詞,初級
오다,来る,オダ,動詞,初級
보다,見る,ポダ,動詞,初級
듣다,聞く,トゥッタ,動詞,初級
말하다,話す,マルハダ,動詞,初級
읽다,読む,イルタ,動詞,初級
쓰다,書く,ッスダ,動詞,初級
사다,買う,サダ,動詞,初級
팔다,売る,パルダ,動詞,初級
주다,与える,チュダ,動詞,中級
받다,受け取る,パッタ,動詞,中級
만들다,作る,マンドゥルダ,動詞,中級
오늘,今日,オヌル,時間,初級
내일,明日,ネイル,時間,初級
어제,昨日,オジェ,時間,初級
아침,朝,アチム,時間,初級
점심,昼,チョムシム,時間,初級
저녁,夜,チョニョク,時間,初級
월요일,月曜日,ウォリョイル,時間,初級
화요일,火曜日,ファヨイル,時間,初級
수요일,水曜日,スヨイル,時間,初級
목요일,木曜日,モギョイル,時間,初級
금요일,金曜日,クミョイル,時間,初級
토요일,土曜日,トヨイル,時間,初級
일요일,日曜日,イリョイル,時間,初級
맑다,晴れている,マクタ,天気,中級
흐리다,曇っている,フリダ,天気,中級
비가 오다,雨が降る,ピガ オダ,天気,中級
눈이 오다,雪が降る,ヌニ オダ,天気,中級
더워요,暑いです,トウォヨ,天気,初級
추워요,寒いです,チュウォヨ,天気,初級
시원해요,涼しいです,シウォネヨ,天気,中級
따뜻해요,温かいです,ッタットゥテヨ,天気,中級
한국어,韓国語,ハングゴ,言語,初級
일본어,日本語,イルボノ,言語,初級
영어,英語,ヨンオ,言語,初級
중국어,中国語,チュングゴ,言語,初級
컴퓨터,コンピューター,コンピュト,物,中級
휴대폰,携帯電話,ヒュデポン,物,中級
인터넷,インターネット,インターネッ,物,中級
여행,旅行,ヨヘン,活動,中級
관광,観光,クァングァン,活動,中級
호텔,ホテル,ホテル,場所,中級
공항,空港,コンハン,場所,中級
역,駅,ヨク,場所,初級
식당,レストラン,シクタン,場所,初級
카페,カフェ,カペ,場所,初級
은행,銀行,ウンヘン,場所,中級
병원,病院,ビョンウォン,場所,中級
약국,薬局,ヤックク,場所,中級
화장실,トイレ,ファジャンシル,場所,初級
입구,入口,イプク,場所,中級
출구,出口,チュルク,場所,中級
왼쪽,左,ウェンチョク,方向,中級
오른쪽,右,オルンチョク,方向,中級
위,上,ウィ,方向,初級
아래,下,アレ,方向,初級
앞,前,アプ,方向,初級
뒤,後ろ,トゥイ,方向,初級
빨간색,赤,パルガンセク,色,中級
파란색,青,パランセク,色,中級
노란색,黄色,ノランセク,色,中級
초록색,緑,チョロクセク,色,中級
검은색,黒,コムンセク,色,中級
흰색,白,フィンセク,色,中級
사과,りんご,サグァ,食べ物,初級
바나나,バナナ,バナナ,食べ物,初級
우유,牛乳,ウユ,食べ物,初級
빵,パン,ッパン,食べ物,初級
고기,肉,コギ,食べ物,初級
야채,野菜,ヤチェ,食べ物,初級
생선,魚,センソン,食べ物,中級
김치,キムチ,キムチ,食べ物,初級
밥,ご飯,パプ,食べ物,初級
국,スープ,クク,食べ物,初級
술,お酒,スル,飲み物,中級
커피,コーヒー,コピ,飲み物,初級
차,お茶,チャ,飲み物,初級
주스,ジュース,チュスー,飲み物,初級
하나,1,ハナ,数字,初級
둘,2,トゥル,数字,初級
셋,3,セッ,数字,初級
넷,4,ネッ,数字,初級
다섯,5,タソッ,数字,初級
여섯,6,ヨソッ,数字,初級
일곱,7,イルゴプ,数字,初級
여덟,8,ヨドル,数字,初級
아홉,9,アホプ,数字,初級
열,10,ヨル,数字,初級
백,100,ペク,数字,初級
천,1000,チョン,数字,初級
일,1（漢数字）,イル,数字,中級
이,2（漢数字）,イ,数字,中級
삼,3（漢数字）,サム,数字,中級
사,4（漢数字）,サ,数字,中級
오,5（漢数字）,オ,数字,中級
육,6（漢数字）,ユク,数字,中級
칠,7（漢数字）,チル,数字,中級
팔,8（漢数字）,パル,数字,中級
구,9（漢数字）,ク,数字,中級
십,10（漢数字）,シプ,数字,中級
개,個（助数詞）,ケ,数字,中級
마리,匹（助数詞）,マリ,数字,中級
그릇,皿（助数詞）,クルッ,数字,中級
병,瓶（助数詞）,ビョン,数字,中級
그램,グラム,グレム,数字,中級
킬로그램,キログラム,キログレム,数字,中級
첫째,1番目,チョッチェ,数字,中級
둘째,2番目,トゥルチェ,数字,中級
셋째,3番目,セッチェ,数字,中級
강아지,犬,カンアジ,動物,初級
고양이,猫,コヤンイ,動物,初級
말,馬,マル,動物,中級
소,牛,ソ,動物,中級
닭,鶏,タク,動物,中級
